state,year,total_holdings,total_acres,chinese_holdings,chinese_acres,has_restriction,treatment_year,provision_type,target_scope
Alabama,2018,648,1684621.1,0,0.0,0,2023,restriction,adversarial_nations
Alaska,2018,15,270401.0,0,0.0,0,,,
Arizona,2018,312,303062.8,52,9892.0,0,2025,restriction,adversarial_nations
Arkansas,2018,605,1126062.1,1,20.0,0,2023,ban,adversarial_nations
California,2018,1698,1205880.6,70,6930.8,0,,,
Colorado,2018,829,1126963.4,1,3871.4,0,,,
Connecticut,2018,27,1867.2,0,0.0,0,,,
Delaware,2018,12,4848.0,0,0.0,0,,,
Florida,2018,1438,1321669.6,9,13847.5,0,2023,ban,adversarial_nations
Georgia,2018,1195,1095396.3,7,1972.0,0,2024,restriction,adversarial_nations
Hawaii,2018,126,171105.1,6,489.0,0,,,
Idaho,2018,99,122573.0,0,0.0,0,2023,ban,adversarial_nations
Illinois,2018,1521,578444.9,2,107.9,0,,,
Indiana,2018,731,307819.9,3,618.0,0,2022,restriction,adversarial_nations
Iowa,2018,1373,398089.7,0,0.0,0,2024,restriction,adversarial_nations
Kansas,2018,1546,791647.8,1,0.5,1,2000,restriction,all_foreign
Kentucky,2018,313,76921.2,2,110.0,0,2025,restriction,adversarial_nations
Louisiana,2018,360,1414045.7,0,0.0,0,2023,restriction,adversarial_nations
Maine,2018,417,3314617.5,1,97.5,0,,,
Maryland,2018,189,53970.7,6,2139.0,0,,,
Massachusetts,2018,16,4845.0,0,0.0,0,,,
Michigan,2018,748,1321104.0,0,0.0,0,,,
Minnesota,2018,701,448350.8,0,0.0,1,2000,restriction,all_foreign
Mississippi,2018,341,676296.7,1,88.0,0,2024,restriction,adversarial_nations
Missouri,2018,770,324728.1,12,42875.6,1,2000,restriction,all_foreign
Montana,2018,273,709038.2,0,0.0,0,2023,restriction,adversarial_nations
Nebraska,2018,413,164460.0,0,0.0,0,2024,restriction,adversarial_nations
Nevada,2018,60,508431.6,0,0.0,0,,,
New Hampshire,2018,37,16905.0,0,0.0,0,,,
New Jersey,2018,70,21452.0,1,20.0,0,,,
New Mexico,2018,219,1058491.4,0,0.0,0,,,
New York,2018,768,556173.4,0,0.0,0,,,
North Carolina,2018,467,519543.7,28,49252.5,0,,,
North Dakota,2018,397,219242.4,0,0.0,0,2023,restriction,adversarial_nations
Ohio,2018,756,447825.5,5,334.0,0,2023,restriction,adversarial_nations
Oklahoma,2018,1825,702418.9,3,2571.2,0,2023,restriction,adversarial_nations
Oregon,2018,338,1068148.2,4,197.0,0,,,
Pennsylvania,2018,264,311348.0,2,680.0,0,,,
Puerto Rico,2018,11,2945.0,0,0.0,0,,,
Rhode Island,2018,1,17.0,0,0.0,0,,,
South Carolina,2018,359,493352.5,4,909.5,0,,,
South Dakota,2018,129,131579.7,0,0.0,0,2024,restriction,adversarial_nations
Tennessee,2018,326,374669.9,0,0.0,0,2023,restriction,adversarial_nations
Texas,2018,3279,3990469.7,95,55793.8,0,2025,restriction,adversarial_nations
Utah,2018,61,124629.6,4,34006.7,0,2023,restriction,adversarial_nations
