site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus
Adelphi Laboratory Center,"Adelphi, MD",1,1,2020,,,Y
Air Force Maui Optical and Supercomputing Site,"Maui, HI",1,1,2020,,,N
Air Force Office of Scientific Research,"Arlington, VA",1,1,2020,,,Y
Andersen Air Force Base,"Yigo, Guam",1,1,2020,,,N
Anniston Army Depot,"Anniston, AL",1,1,2024,,,Y
Army Futures Command,"Austin, TX",1,1,2020,,,Y
Army Research Lab--Orlando Simulations and Training Technology Center,"Orlando, FL",1,1,2020,,,Y
Army Research Office,"Durham, NC",1,1,2020,,,Y
Barter Island Regional Radar Site,"Barter Island, AK",1,1,2024,,,N
Beale Air Force Base,"Yuba City, CA",1,1,2020,,,Y
Biometric Technology Center (Defense Forensics and Biometrics Agency),"Clarksburg, WV",1,1,2020,,,Y
Blue Grass Army Depot,"Richmond, KY",1,1,2024,,,Y
Buckley Space Force Base,"Aurora, CO",1,1,2020,,,Y
Camp Blaz,"Dededo, Guam",1,1,2024,,,N
Camp Mackall,"Southern Pines, NC",1,1,2020,,,Y
Camp Navajo,"Bellemont, AZ",1,1,2024,,,Y
Camp Roberts,"San Miguel, CA",1,1,2024,,,Y
Cape Newenham Long Range Radar Site,"Cape Newenham, AK",1,1,2020,,,N
Cavalier Space Force Station,"Cavalier, ND",1,1,2020,,,Y
Cheyenne Mountain Space Force Station,"Colorado Springs, CO",1,1,2020,,,Y
Clear Space Force Station,"Anderson, AK",1,1,2020,,,N
Cold Bay Regional Radar Site,"Cold Bay, AK",1,1,2024,,,N
Combat Capabilities Development Command Soldier Center,"Natick, MA",1,1,2020,,,Y
Creech Air Force Base,"Indian Springs, NV",1,1,2020,,,Y
Davis-Monthan Air Force Base,"Tucson, AZ",1,1,2020,,,Y
Defense Advanced Research Projects Agency,"Arlington, VA",1,1,2020,,,Y
Detroit Arsenal,"Warren, MI",1,1,2024,,,Y
Eareckson Air Station,"Shemya, AK",1,1,2020,,,N
Eielson Air Force Base,"Fairbanks, AK",1,1,2020,,,N
Ellington Field Joint Reserve Base,"Houston, TX",1,1,2020,,,Y
Fairchild Air Force Base,"Spokane, WA",1,1,2020,,,Y
Fort Belvoir,"Fairfax County, VA",1,1,2020,,,Y
Fort Bliss,"El Paso, TX",1,1,2020,,,Y
Fort Campbell,"Hopkinsville, KY and Clarksville, TN",1,1,2020,,,Y
Fort Carson,"Colorado Springs, CO",1,1,2020,,,Y
Fort Cavazos,"Killeen, TX",1,1,2020,,,Y
Fort Detrick,"Frederick, MD",1,1,2020,,,Y
Fort Drum,"Watertown, NY",1,1,2020,,,Y
Fort Eisenhower,"Augusta, GA",1,1,2020,,,Y
Fort Gregg-Adams,"Petersburg, VA",1,1,2020,,,Y
Fort Knox,"Elizabethtown, KY",1,1,2020,,,Y
Fort Leavenworth,"Leavenworth County, KS",1,1,2020,,,Y
Fort Leonard Wood,"Pulaski County, MO",1,1,2020,,,Y
Fort Meade,"Anne Arundel County, MD",1,1,2020,,,Y
Fort Moore,"Columbus, GA",1,1,2020,,,Y
Fort Riley,"Junction City, KS",1,1,2020,,,Y
Fort Shafter,"Honolulu, HI",1,1,2020,,,N
Fort Sill,"Lawton, OK",1,1,2020,,,Y
Fort Stewart,"Hinesville, GA",1,1,2020,,,Y
Fort Yukon Long Range Radar Site,"Fort Yukon, AK",1,1,2020,,,N
Francis E. Warren Air Force Base,"Cheyenne, WY",1,1,2020,,,Y
Guam Tracking Station,"Inarajan, Guam",1,1,2020,,,N
Hanscom Air Force Base,"Lexington, MA",1,1,2020,,,Y
Hawthorne Army Depot,"Hawthorne, NV",1,1,2024,,,Y
Holloman Air Force Base,"Alamogordo, NM",1,1,2020,,,Y
Holston Army Ammunition Plant,"Kingsport, TN",1,1,2020,,,Y
Indian Mountain Regional Radar Site,"Indian Mountain, AK",1,1,2024,,,N
Iowa Army Ammunition Plant,"Middletown, IA",1,1,2024,,,Y
Joint Base Anacostia-Bolling,"Washington, DC",1,1,2020,,,Y
Joint Base Andrews,"Camp Springs, MD",1,1,2020,,,Y
Joint Base Elmendorf-Richardson,"Anchorage, AK",1,1,2020,,,N
Joint Base Langley-Eustis,"Hampton, VA and Newport News, VA",1,1,2020,,,Y
Joint Base Lewis-McChord,"Tacoma, WA",1,1,2020,,,Y
