site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus,mirta_match
Adelphi Laboratory Center,"Adelphi, MD",1,1,2020,39.031507,-76.963785,Y,Adelphi Laboratory Center
Air Force Maui Optical and Supercomputing Site,"Maui, HI",1,1,2020,20.746208,-156.431245,N,Air Force Maui Optical and Supercomputing Site
Air Force Office of Scientific Research,"Arlington, VA",1,1,2020,38.8803,-77.1066,Y,MANUAL_COORDS
Andersen Air Force Base,"Yigo, Guam",1,1,2020,13.596895,144.89815,N,Andersen Air Force Base
Anniston Army Depot,"Anniston, AL",1,1,2024,33.7208,-85.8497,Y,MANUAL_COORDS
Army Futures Command,"Austin, TX",1,1,2020,30.3891,-97.7244,Y,MANUAL_COORDS
Army Research Lab--Orlando Simulations and Training Technology Center,"Orlando, FL",1,1,2020,28.5861,-81.1975,Y,MANUAL_COORDS
Army Research Office,"Durham, NC",1,1,2020,,,Y,
Barter Island Regional Radar Site,"Barter Island, AK",1,1,2024,70.134,-143.6577,N,MANUAL_COORDS
Beale Air Force Base,"Yuba City, CA",1,1,2020,39.120933,-121.395571,Y,Beale Air Force Base
Biometric Technology Center (Defense Forensics and Biometrics Agency),"Clarksburg, WV",1,1,2020,39.3252,-80.2635,Y,MANUAL_COORDS
Blue Grass Army Depot,"Richmond, KY",1,1,2024,37.7019,-84.2177,Y,MANUAL_COORDS
Buckley Space Force Base,"Aurora, CO",1,1,2020,39.70667,-104.757689,Y,Buckley Space Force Base
Camp Blaz,"Dededo, Guam",1,1,2024,32.711836,-116.518635,N,Camp Morena
Camp Mackall,"Southern Pines, NC",1,1,2020,35.030078,-79.481605,Y,Camp MacKall
Camp Navajo,"Bellemont, AZ",1,1,2024,35.19483,-111.850577,Y,NG Camp Navajo
Camp Roberts,"San Miguel, CA",1,1,2024,35.7601,-120.7454,Y,MANUAL_COORDS
Cape Newenham Long Range Radar Site,"Cape Newenham, AK",1,1,2020,58.642608,-162.066653,N,Cape Newenham Long Range Radar Site
Cavalier Space Force Station,"Cavalier, ND",1,1,2020,48.724531,-97.90307,Y,Cavalier Space Force Station
Cheyenne Mountain Space Force Station,"Colorado Springs, CO",1,1,2020,38.741034,-104.842724,Y,Cheyenne Mountain Space Force Station
Clear Space Force Station,"Anderson, AK",1,1,2020,64.288161,-149.190715,N,Clear Space Force Station
Cold Bay Regional Radar Site,"Cold Bay, AK",1,1,2024,55.205,-162.7225,N,MANUAL_COORDS
Combat Capabilities Development Command Soldier Center,"Natick, MA",1,1,2020,42.289939,-71.362426,Y,U.S. Army Natick Soldier Systems Center
Creech Air Force Base,"Indian Springs, NV",1,1,2020,36.655244,-115.621045,Y,Creech Air Force Base
Davis-Monthan Air Force Base,"Tucson, AZ",1,1,2020,32.160802,-110.848722,Y,Davis-Monthan Air Force Base
Defense Advanced Research Projects Agency,"Arlington, VA",1,1,2020,38.8803,-77.1066,Y,MANUAL_COORDS
Detroit Arsenal,"Warren, MI",1,1,2024,42.497329,-83.041334,Y,Detroit Arsenal
Eareckson Air Station,"Shemya, AK",1,1,2020,52.721037,174.10714,N,Eareckson Air Station
Eielson Air Force Base,"Fairbanks, AK",1,1,2020,64.648835,-147.004204,N,Eielson Air Force Base
Ellington Field Joint Reserve Base,"Houston, TX",1,1,2020,29.616518,-95.170545,Y,Ellington Field Joint Reserve Base
Fairchild Air Force Base,"Spokane, WA",1,1,2020,47.618661,-117.648385,Y,Fairchild Air Force Base
Fort Belvoir,"Fairfax County, VA",1,1,2020,38.695926,-77.181755,Y,Fort Belvoir
Fort Bliss,"El Paso, TX",1,1,2020,31.944489,-106.249728,Y,Fort Bliss
Fort Campbell,"Hopkinsville, KY and Clarksville, TN",1,1,2020,36.596508,-87.599049,Y,Fort Campbell
Fort Carson,"Colorado Springs, CO",1,1,2020,38.558899,-104.826739,Y,Fort Carson
Fort Cavazos,"Killeen, TX",1,1,2020,31.21579,-97.737031,Y,Fort Cavazos
Fort Detrick,"Frederick, MD",1,1,2020,39.441179,-77.424981,Y,Fort Detrick
Fort Drum,"Watertown, NY",1,1,2020,44.1249,-75.592001,Y,Fort Drum
Fort Eisenhower,"Augusta, GA",1,1,2020,33.356688,-82.237259,Y,Fort Eisenhower
