fips,county,state,lat,lon,entity_count,total_acres,r1_covered,r1_nearest_site,r1_nearest_dist,r1_covering_site,r1_covering_dist,r1_covering_threshold,r2_covered,r2_nearest_site,r2_nearest_dist,r2_covering_site,r2_covering_dist,r2_covering_threshold,r3_covered,r3_nearest_site,r3_nearest_dist,r3_covering_site,r3_covering_dist,r3_covering_threshold,r4_covered,r4_nearest_site,r4_nearest_dist,r4_covering_site,r4_covering_dist,r4_covering_threshold
04013,Maricopa,Arizona,33.3488,-112.4912,1,322.0,N,N/A,N/A,,,,N,Yuma Proving Ground,108.3,,,,Y,Luke Air Force Base,14.4,Luke Air Force Base,14.4,100,Y,Luke Air Force Base,14.4,Luke Air Force Base,14.4,100
05031,Craighead,Arkansas,35.8308,-90.6328,1,160.0,N,N/A,N/A,,,,N,Fort Leonard Wood,154.6,,,,N,Fort Leonard Wood,154.6,,,,N,Little Rock Air Force Base,106.3,,,
06001,Alameda,California,37.6466,-121.886,1,183.0,N,N/A,N/A,,,,N,Travis Air Force Base,42.8,,,,N,Travis Air Force Base,42.8,,,,N,Military Ocean Terminal Concord,26.5,,,
06019,Fresno,California,36.7584,-119.6503,3,218.0,N,N/A,N/A,,,,N,Naval Air Weapons Station China Lake,125.3,,,,N,Naval Air Weapons Station China Lake,125.3,,,,N,Camp Roberts,92.1,,,
06021,Glenn,California,39.5984,-122.3922,1,47.5,N,N/A,N/A,,,,N,Beale Air Force Base,62.6,,,,N,Beale Air Force Base,62.6,,,,N,Beale Air Force Base,62.6,,,
06029,Kern,California,35.3429,-118.7298,2,298.1,N,N/A,N/A,,,,Y,Air Force Plant 42,61.7,Air Force Plant 42,61.7,100,Y,Edwards Air Force Base,58.8,Air Force Plant 42,61.7,100,Y,Edwards Air Force Base,58.8,Air Force Plant 42,61.7,100
06031,Kings,California,36.0753,-119.8156,2,1553.2,N,N/A,N/A,,,,N,Vandenberg Space Force Base,103.0,,,,N,Vandenberg Space Force Base,103.0,,,,N,Camp Roberts,56.4,,,
06065,Riverside,California,33.7437,-115.9939,3,271.0,N,N/A,N/A,,,,N,Marine Corps Air Station Miramar,87.4,,,,N,Marine Corps Air Station Miramar,87.4,,,,Y,Chocolate Mountain Aerial Gunnery Range,56.0,Chocolate Mountain Aerial Gunnery Range,56.0,100
06073,San Diego,California,33.0354,-116.7335,1,277.0,N,N/A,N/A,,,,N,Marine Corps Air Station Miramar,23.5,,,,N,Marine Corps Air Station Miramar,23.5,,,,Y,Marine Corps Air Station Miramar,23.5,Chocolate Mountain Aerial Gunnery Range,68.8,100
06085,Santa Clara,California,37.2325,-121.6963,1,61.2,N,N/A,N/A,,,,N,Travis Air Force Base,72.6,,,,N,Travis Air Force Base,72.6,,,,N,Military Ocean Terminal Concord,56.9,,,
