mirta_name,state,component,installationId,latitude,longitude
,TX,US Army,,30.268975,-97.741
,NC,US Army,,35.993944,-78.898846
,FL,US Army,,28.58611,-81.197459
,WV,Other,,39.325228,-80.263467
,VA,Washington Headquarters Service,WHS01,38.8788,-77.108543
Aberdeen Proving Ground,MD,US Army,24015,39.448769,-76.203618
Air Force Plant 42,CA,US Air Force,TTQK,34.62595,-118.085627
Andersen Air Force Base,GU,US Navy,N41557,13.595739,144.907614
Arnold,TN,US Air Force,ANZY,35.333088,-86.070703
Back Island AK,AK,US Navy,N68436,55.541383,-131.761971
Bayview Idaho,ID,US Navy,N68967,47.978201,-116.561063
Beale AFB,CA,US Air Force,BAEY,39.128338,-121.408689
Blossom Point Research Facility,MD,US Army,24015,38.41598,-77.095146
Buckley Space Force Base,CO,US Air Force,CRWU,39.706747,-104.761808
CNIC PMRF Barking Sands HI,HI,US Navy,N61064,22.035462,-159.778663
Camp Mackall,NC,US Army,37225,35.033411,-79.464054
Cape Canaveral Space Force Station,FL,US Air Force,SXHT,28.473145,-80.581522
Cape Cod Space Force Station,MA,US Air Force,CRWU,41.753616,-70.539166
Cape Newenham Long Range Radar Site,AK,US Air Force,VNMH,58.645411,-162.07065
Cavalier Space Force Station,ND,US Air Force,CRWU,48.72591,-97.903403
Cheyenne Mountain Space Force Station,CO,US Air Force,TDKA,38.739828,-104.839868
Clear Space Force Station,AK,US Air Force,CRWU,64.284572,-149.238732
Creech AFB,NV,US Air Force,LKTC,36.578566,-115.67273
Dam Neck,VA,US Navy,N60191,36.786846,-75.968309
Dare County Range,NC,US Air Force,VKAG,35.722159,-75.890413
Davis Monthan AFB,AZ,US Air Force,FBNV,32.166544,-110.865501
Det Philadelphia PA,PA,US Navy,N32414,40.042228,-75.093049
Dix,NJ,US Air Force,PTFL,40.009128,-74.522676
Dugway Proving Ground,UT,US Army,49295,40.154347,-113.204673
Dyess AFB,TX,US Air Force,FNWZ,32.423261,-99.844039
Eareckson AS,AK,US Air Force,VNMH,52.720963,174.106613
Edwards AFB,CA,US Air Force,FSPM,34.876442,-117.847271
Eglin AFB (Eglin Main and Reservation),FL,US Air Force,FTFA,30.574713,-86.683635
Eielson AFB,AK,US Air Force,FTQW,64.68777,-147.07586
Ellington Field,TX,Air National Guard,FWJH,29.61542,-95.171639
Ellsworth AFB,SD,US Air Force,FXBM,44.156141,-103.093013
Ellsworth AFB Site 2,SD,US Air Force,FXBM,44.120864,-103.076805
Elmendorf AFB,AK,US Air Force,FXSB,61.307297,-149.780224
F E Warren AFB,WY,US Air Force,GHLN,41.165346,-104.86509
Fairchild AFB,WA,US Air Force,GJKZ,47.617174,-117.648318
